Region,Region Type,Year,Residential Property Tax,Commercial Property Tax,Seasonal Property Tax,"Forest Property Tax (50,000 acres or more)",Total Commercial Property Revenue,Resource Taxable assessments,"Forest property tax (less than 50,000 acres)",Total Resource Revenue,Recreation property tax,Wind farm payment from Province of NS,Farm property acreage payment from Province of NS,Conservation payment from Province of NS,Total Other Assessable Property Tax Revenue,Bell Aliant - based on revenues,Wind farm taxes from developers,Other special tax agreements or legislation,Total Special Tax Agreement Revenue,Subtotal Assessable Property,"Area rates, uniform charges, and special assessments",Sewer rates/charges,Taxes and rates collected for other Governments/ Agencies,Less: Transmission of taxes and rates collected for other Govs/Agencies,"Total Other Rates, Charges and Assessments",Deed transfer tax,Other Taxes,Total Other Tax Revenue,Appropriations to regional school board,Transfer to correctional services,Deficit of Regional Housing Authority,Total Expenditures as a Reduction of Tax Revenue,NET PROPERTY TAXES AND PAYMENTS IN LIEU OF TAXES,Federal government and federal government agencies Grant in Lieu,PILT payment,Fire protection,Other Grant in Lieu,Total Provincial Government and Agencies Grants in Lieu of Taxes,TOTAL GRANTS IN LIEU OF TAXES,Service Provided to Federal government,Service Provided to Provincial government,Service Provided to Other local governments,TOTAL SERVICES PROVIDED TO OTHER GOVERNMENTS,General government services,Protective services,Transportation services - Transit,Transportation services - Other,Environmental health services,Public health services,Environmental development services,Recreation and cultural services,Wind power,Other services,TOTAL SALES OF SERVICES,Licenses and permits,Fines,Rentals,Concessions and franchises,Return on investments,Penalties and interest on taxes,Miscellaneous,TOTAL OTHER REVENUE FROM OWN SOURCES,Municipal Grants Act - Equalization and Town Foundation,NSPI - Grant in lieu of taxes,NSPI - HST offset,Federal government and federal government agencies Unconditional Transfers,Provincial government and provincial government agencies,Other Unconditional Transfers,TOTAL UNCONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Gas tax revenues,Federal government and federal government agencies Conditional Transfers,Provincial government and provincial agencies,Other local governments Conditional Transfers,TOTAL CONDITIONAL TRANSFERS FROM OTHER GOVERNMENTS,Net Income from Government Business Enterprises,Water Fund Revenues,Electric Fund Revenues,TOTAL REVENUE,Mayor/Warden Remuneration,Mayor/Warden Wxpenses,Council Remuneration,Council Expenses,Other legislative services,Total Legislative Expenses,General administrative and financial management services,Tax rebates or cancellations (MGA),Transfer for assessment services,Other taxation,Total General Administrative Expenses,Valuation Allowances,General Gov Interest on long-term debt,General Gov Short-term interest and other debt charges,"General gov amortization, gain / loss, writedowns on capital assets",Other general government services,TOTAL GENERAL GOVERNMENT SERVICES,Police protection,Water supply and hydrants,Other fire protection,Total Fire Protection,Protective Services Interest on long-term debt,Protective Services Short-term interest and other debt charges,"Protective Services Amortization, gain / loss, writedowns on capital assets",Other protective services,TOTAL PROTECTIVE SERVICES,Common services,Road transport,Air transport,Water transport,Public transit,Transportation Interest on long-term debt,Transportation Short-term interest and other debt charges,"Transportation Amortization, gain / loss, writedowns on capital assets",Other transportation services,TOTAL TRANSPORTATION SERVICES,Sewage collection and disposal,Garbage and waste collection and disposal,Transfer to the capital reserve for landfill closure/ post-closure costs,Other current expenditures for landfill costs,Total Municipal Landfill Expenses,Environmental Health Interest on long-term debt,Environmental Health Short-term interest and other debt charges,"Environmental Health Amortization, gain / loss, writedowns on capital assets",Other environmental health services,TOTAL ENVIRONMENTAL HEALTH SERVICES,Public Health,Public Health Interest on long-term debt,Public health Short-term interest and other debt charges,"Public Health Amortization, gain / loss, writedowns on capital assets",Other public health services,TOTAL PUBLIC HEALTH SERVICES,Environmental planning and zoning,Community development,Environmental Development Interest on long-term debt,Environmental Development Short-term interest and other debt charges,"Environmental Development Amortization, gain / loss, writedowns on capital assets",Other environmental development services,TOTAL ENVIRONMENTAL DEVELOPMENT SERVICES,Recreation facilities,Cultural buildings and facilities,Transfers to regional library,Other Transfers to Library ,Recreation Interest on long-term debt,Short-term interest and other debt charges,"Recreation Amortization, gain / loss, writedowns on capital assets",Other recreation and cultural services,TOTAL RECREATION AND CULTURAL SERVICES,Extraordinary or special revenue items ,Extraordinary or special expenditure items,Optional (supplementary) education contributions,TOTAL EXTRAORDINARY OR SPECIAL ITEMS,Water fund expenses,Water Fund Interest on long-term debt,"Water Fund Amortization, gain / loss, writedowns on capital assets",TOTAL WATER FUND,Electric fund expenses,Electric Fund Interest on long-term debt,"Electric Fund Amortization, gain / loss, writedowns on capital assets",TOTAL ELECTRIC FUND,TOTAL EXPENSES
Port Hawkesbury,Town,2021-22,2616732,2218552,0,0,2218552,21323,0,21323,0,0,0,0,0,23716,0,0,23716,4880323,0,0,0,0,0,236870,0,236870,-633397,-38068,-60873,-732338,4384855,79993,639913,42183,0,682096,762089,0,0,487178,487178,7175,0,0,67367,0,0,28676,522487,0,0,625705,934,5092,182913,0,24195,60339,64970,338443,597460,9136,32327,0,5910,-1,644832,0,40514,333895,57500,431909,0,1234646,0,8909657,36710,2901,77439,4205,0,121255,501007,192651,53014,79525,826197,13969,0,0,50876,190392,1202689,1115612,0,135679,135679,21953,0,52972,2158,1328374,148821,902888,48378,0,0,13261,0,491923,3236,1608507,379193,207095,0,32749,32749,19101,0,33080,0,671218,0,0,0,0,0,0,67710,27900,0,0,277099,0,372709,1383032,0,21147,0,30858,0,486410,253849,2175296,0,0,0,0,871697,21511,293042,1186250,0,0,0,0,8545043
Shelburne,Town,2021-22,1560384,693666,12998,0,706664,25019,23,25042,0,0,0,0,0,11740,0,0,11740,2303830,261063,334238,0,0,595301,185553,0,185553,-287860,-20729,-113782,-422371,2662313,8673,5351,442,0,5793,14466,0,0,80690,80690,0,0,0,0,0,0,0,0,0,383101,383101,820,4718,166776,0,20193,37943,54315,284765,719290,0,10335,0,0,0,729625,263079,92364,1000,37018,393461,0,471138,0,5019559,22511,731,56277,366,5824,85709,607241,61808,26727,0,695776,16451,3292,7779,2487,108937,920431,766866,0,133219,133219,2938,0,60973,32229,996225,103667,317390,0,129670,0,20094,0,215205,0,786026,212515,284000,0,0,0,27477,0,173969,0,697961,0,0,0,2837,41407,44244,16121,19183,231,0,5922,138591,180048,86437,24253,13400,0,11205,0,202976,0,338271,0,0,0,0,260846,29636,155250,445732,0,0,0,0,4408938
Stellarton,Town,2021-22,3328628,3356462,0,0,3356462,13619,0,13619,0,0,97,0,97,21502,0,5925,27427,6726233,0,0,0,0,0,252666,0,252666,-824148,-50511,-52851,-927510,6051389,31482,68953,72633,0,141586,173068,0,0,110100,110100,0,8358,0,0,0,0,6937,13693,0,0,28988,3270,4648,0,0,35884,23695,65531,133028,1001368,12051,35330,0,0,0,1048749,435205,16418,128400,0,580023,0,1457727,0,9583072,22887,139,61951,278,12262,97517,662115,9200,55501,0,726816,-50000,0,0,40368,136989,951690,1911002,0,135692,135692,0,0,23402,7682,2077778,1304999,483490,0,0,20000,40628,0,937105,0,2786222,498422,270516,0,0,0,11342,0,161208,0,941488,0,0,0,0,0,0,51668,21484,93475,0,7669,4602,178898,758561,21847,41680,0,0,0,169715,0,991803,0,0,0,0,912472,162770,447947,1523189,0,0,0,0,9451068
Stewiacke,Town,2021-22,1364884,341463,0,0,341463,21409,373,21782,0,0,2993,0,2993,7556,0,0,7556,1738678,97680,196405,94450,0,388535,119343,0,119343,-281076,-17159,-75241,-373476,1873080,2816,0,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13949,42,9424,0,5873,13542,69562,112392,404698,0,6429,0,0,0,411127,162252,0,25000,0,187252,0,642461,0,3229128,12228,388,50743,273,10936,74568,427446,2750,21300,0,451496,0,0,9877,-39667,30565,526839,171943,93904,0,93904,0,0,0,26375,292222,253346,153063,0,0,0,12306,0,219233,0,637948,91046,95351,0,0,0,0,0,90842,0,277239,0,0,0,0,0,0,8412,0,0,0,0,34023,42435,175969,0,13984,0,0,0,40658,0,230611,0,0,0,0,284717,17231,76043,377991,0,0,0,0,2385285
Trenton,Town,2021-22,1737137,141996,0,0,141996,19215,0,19215,0,0,0,0,0,8539,0,0,8539,1906887,276635,0,0,0,276635,114128,0,114128,-373500,-26155,-60000,-459655,1837995,3618,91,0,0,91,3709,0,0,15000,15000,5979,0,0,0,0,0,0,166936,0,0,172915,4672,33,5345,0,8904,39088,81625,139667,841844,1292422,11251,0,0,0,2145517,0,1057548,577079,0,1634627,0,355754,0,6305184,16168,0,41639,0,15360,73167,543579,6811,32228,11903,594521,18091,0,8819,53060,70244,817902,630553,0,96655,96655,6657,0,31654,2808,768327,572158,204682,0,0,9200,25153,0,359319,0,1170512,172212,158288,0,0,0,37972,0,132750,0,501222,0,0,0,0,0,0,39535,18194,0,0,0,3927,61656,628999,0,24257,0,10644,0,111035,0,774935,0,0,0,0,471566,0,56849,528415,0,0,0,0,4622969
Truro,Town,2021-22,11988149,9411820,0,245,9412065,20180,194,20374,6602,0,1135,0,7737,69641,0,0,69641,21497966,447370,945410,0,0,1392780,1581814,0,1581814,-2666724,-164349,-177329,-3008402,21464158,678599,54226,60734,0,114960,793559,0,0,361978,361978,183547,306040,0,67071,0,0,127741,1393412,0,0,2077811,9516,74987,1369,0,110622,158207,110640,465341,2693276,17695,81495,0,33620,0,2826086,1349029,1374933,754957,0,3478919,0,3656638,0,35124490,53887,236,177311,21172,0,252606,2408926,15912,152129,0,2576967,0,12147,17334,914862,713286,4487202,5775875,0,2210180,2210180,6627,0,305866,88309,8386857,1485545,3279122,0,0,0,10971,0,2183977,0,6959615,1867042,514627,0,0,0,0,0,300735,0,2682404,0,25685,0,0,0,25685,794253,218231,0,0,11330,150523,1174337,4185670,164784,90200,0,390870,0,969445,2,5800971,0,0,0,0,2233434,14063,492953,2740450,0,0,0,0,32257521
Westville,Town,2021-22,2731583,332955,0,0,332955,45023,158,45181,0,0,209,0,209,17806,0,0,17806,3127734,0,258316,0,0,258316,153410,0,153410,-438408,-35600,-110000,-584008,2955452,0,1966,5927,0,7893,7893,0,0,2245,2245,0,0,0,0,0,0,8348,14653,0,0,23001,3970,7317,66791,0,5078,61004,55298,199458,1368782,927,15112,0,0,0,1384821,651267,20875,100000,0,772142,0,822451,0,6167463,13472,1427,39631,1256,1775,57561,362348,15874,42116,0,420338,27100,7930,0,50805,286409,850143,1137793,0,101904,101904,237,0,35767,13026,1288727,434019,251567,0,0,7400,7700,0,177908,0,878594,195913,226897,0,0,0,13224,0,118649,0,554683,0,0,0,0,37809,37809,87851,20383,0,0,0,1552,109786,244281,8610,33493,0,0,0,22285,8343,317012,0,0,0,0,939780,2986,49884,992650,0,0,0,0,5029404
Wolfville,Town,2021-22,6498491,1233574,0,0,1233574,12735,0,12735,0,0,1203,0,1203,19767,0,0,19767,7765770,494596,521570,0,0,1016166,689146,0,689146,-719952,-83576,-72200,-875728,8595354,20537,947667,0,0,947667,968204,0,0,0,0,2800,306134,0,18858,0,0,3370,45495,0,0,376657,17482,38507,24691,0,54841,71368,15525,222414,139738,0,62004,0,0,0,201742,0,698953,731283,221762,1651998,0,759443,0,12775812,42566,259,136464,1212,15770,196271,1356145,109195,77296,0,1542636,0,0,14242,35574,192911,1981634,1555579,0,352603,352603,2415,0,172037,123300,2205934,231401,1285485,0,0,198341,132722,0,763088,0,2611037,419782,372093,0,0,0,38295,0,380817,0,1210987,0,0,0,0,0,0,644309,102211,0,0,133577,52856,932953,1138546,62635,30300,0,6866,0,58957,0,1297304,0,0,0,0,835058,18535,164908,1018501,0,0,0,0,11258350
Yarmouth,Town,2021-22,4914556,5654696,0,0,5654696,11715,0,11715,0,0,0,0,0,47506,0,0,47506,10628473,536175,1350143,0,0,1886318,476042,0,476042,-1357966,-85143,-230492,-1673601,11317232,163745,765094,48430,0,813524,977269,0,0,870158,870158,0,11174,24417,57149,587925,0,0,0,44705,51742,777112,46529,26457,723901,445494,114320,75385,222088,1654174,1455940,15154,59196,0,246,0,1530536,1110544,1291719,1006318,0,3408581,403609,2095071,0,23033742,63098,0,158011,4968,82239,308316,1167825,208857,84516,0,1461198,322166,0,0,81451,32446,2205577,3016695,435301,1842023,2277324,0,0,262475,274336,5830830,899459,1114148,0,0,171645,26580,0,1243873,0,3455705,1149548,1252905,0,0,0,0,0,858604,40122,3301179,0,0,0,0,0,0,279200,683615,0,0,211299,717699,1891813,897268,16396,44478,0,0,0,592107,25228,1575477,265766,-19727,0,246039,2020646,0,362186,2382832,0,0,0,0,20889452
Annapolis,Rural Municipality,2021-22,11689415,884577,67721,9730,962028,529862,55532,585394,6548,0,140314,189,147051,78119,12580,0,90699,13474587,1664527,1304277,310382,-303943,2975243,2726968,2174,2729142,-3955140,-252728,-175832,-4383700,14795272,127289,204930,18234,1249,224413,351702,0,0,0,0,45050,980,0,0,10000,0,0,15940,0,260440,332410,60034,15943,59052,1,70753,130311,320726,656820,732781,533058,57385,0,0,0,1323224,1732781,10107,5386245,26264,7155397,0,1356862,0,25971688,73045,27,391393,12091,347133,823689,1062877,159200,410765,0,1632842,0,874,0,89071,1736423,4282899,2551547,400704,337785,738489,8562,0,24145,503010,3825753,348386,821156,0,0,632801,16069,0,298321,9541,2126274,811488,1938495,0,0,0,12343,0,595056,0,3357382,175833,0,0,0,0,175833,479593,215357,0,0,-1232838,0,-537888,295125,0,130700,0,394,0,3473829,535985,4436033,0,0,0,0,854502,44597,339764,1238863,0,0,0,0,18905149
Antigonish,Rural Municipality,2021-22,9509572,1290681,0,38912,1329593,688598,3346,691944,0,260861,117235,0,378096,62377,0,0,62377,11971582,1574100,0,0,0,1574100,870609,0,870609,-3826707,-208787,-84674,-4120168,10296123,4362,210306,0,0,210306,214668,0,0,0,0,0,0,0,0,928707,0,455791,42489,0,0,1426987,7200,12972,396806,0,83441,66239,164916,731574,0,8243,30189,0,13355,0,51787,1321342,25409,103900,0,1450651,0,1078752,0,15250542,50888,5853,243859,28037,19338,347975,1215841,144088,324045,0,1683974,0,15597,144393,123078,700679,3015696,1568346,619208,667018,1286226,0,0,8713,44864,2908149,0,358615,0,0,0,6309,0,171332,25692,561948,871176,1672467,0,0,0,55793,0,533921,0,3133357,112000,0,0,0,0,112000,0,306258,0,0,0,0,306258,755862,76863,131053,0,18433,0,30635,0,1012846,0,0,0,0,1166150,32637,234287,1433074,0,0,0,0,12483328
Argyle,Rural Municipality,2021-22,5008210,1143987,12282,32,1156301,386605,10713,397318,13656,34104,6596,4398,58754,34828,190410,0,225238,6845821,42059,229894,446303,-446335,271921,388730,26874,415604,-1659580,-102833,-40372,-1802785,5730561,10959,131862,8346,0,140208,151167,0,0,101565,101565,0,0,0,0,0,0,0,0,46105,19632,65737,21365,4041,3000,0,87529,70186,1470402,1656523,309846,17761,17369,0,0,0,344976,1087942,0,0,0,1087942,0,0,0,9138471,35757,324,178378,21329,0,235788,805116,158254,197187,109562,1270119,336,15033,20837,111502,282674,1936289,973636,0,436882,436882,0,0,26691,626349,2063558,0,49301,176900,0,0,0,0,33671,323363,583235,269876,718490,0,0,0,1297,0,387834,506528,1884025,79935,0,0,0,36907,116842,152891,68194,0,0,241141,581198,1043424,422564,168847,54013,0,0,0,34053,201986,881463,91985,0,0,91985,0,0,0,0,0,0,0,0,8600821
Barrington,Rural Municipality,2021-22,3992132,1566154,0,0,1566154,255672,3564,259236,0,0,4484,0,4484,29102,29465,0,58567,5880573,646867,344121,0,0,990988,549087,18529,567616,-1402917,-88174,-49489,-1540580,5898597,47441,97978,0,2448,100426,147867,0,0,135730,135730,175600,0,0,0,0,0,0,183237,0,0,358837,40521,0,69918,0,52490,144914,42735,350578,302670,0,18838,0,33618,0,355126,687996,10874,232069,0,930939,0,0,0,8177674,31812,1954,102930,2863,0,139559,1132841,92688,138930,0,1364459,5698,0,6645,67335,205061,1788757,1026779,0,704031,704031,14271,0,5057,155250,1905388,0,274989,0,0,0,0,0,11517,0,286506,315476,826127,0,268385,268385,0,0,178574,0,1588562,113232,0,0,10725,0,123957,248822,130627,3818,0,90669,219828,693764,737121,25674,44470,0,1016,0,268591,0,1076872,0,0,0,0,0,0,0,0,0,0,0,0,7463806
Chester,Rural Municipality,2021-22,10924672,1443748,0,8062,1451810,315518,27135,342653,5471,0,7145,0,12616,45304,690030,0,735334,13467085,3624912,0,1758135,-1768828,3614219,2364892,0,2364892,-5204374,-233337,-14889,-5452600,13993596,58858,90239,5158,11585,106982,165840,0,0,3921779,3921779,0,0,0,0,0,0,0,53737,774282,0,828019,102693,9346,38294,0,388926,171590,1122856,1833705,0,22592,45951,0,73703,0,142246,1198641,8572,255359,800,1463372,0,0,0,22348557,49030,2970,132773,12155,105363,302291,3187767,311142,349827,36840,3885576,0,924,0,143870,0,4332661,1983041,0,414705,414705,0,0,11552,425435,2834733,0,614798,0,0,0,1911,0,240397,0,857106,895595,2751550,2122401,0,2122401,114275,0,1554871,0,7438692,0,0,0,0,0,0,499265,213417,66342,0,320299,192158,1291481,811587,0,68035,0,0,0,92753,0,972375,0,0,0,0,0,0,0,0,0,0,0,0,17727048
Clare,Rural Municipality,2021-22,5108088,1286167,0,8248,1294415,423481,24966,448447,0,0,13133,13,13146,25906,0,0,25906,6890002,26609,176004,652122,-622508,232227,237076,4400,241476,-1841230,-58760,-33629,-1933619,5430086,20203,114455,6779,0,121234,141437,0,0,366475,366475,0,0,0,0,0,0,0,20107,0,35990,56097,40868,16217,300383,0,46216,96335,163066,663085,446174,4889,15576,0,0,10044,476683,446816,2081821,129212,710000,3367849,0,0,0,10501712,41292,2858,142267,4580,0,190997,795810,19439,253184,0,1068433,0,0,0,79260,553895,1892585,1207086,0,297188,297188,29597,0,2713,269418,1806002,0,89656,0,0,25000,0,0,0,0,114656,236050,668769,56823,679959,736782,0,0,265705,39847,1947153,666132,31504,0,110982,0,808618,8397,45758,0,0,6436,166011,226602,458559,62582,53377,19255,0,0,-31002,336233,899004,0,0,0,0,0,0,0,0,0,0,0,0,7694620
Colchester,Rural Municipality,2021-22,19556258,6519420,0,75146,6594566,617305,84373,701678,0,456918,259797,0,716715,124754,0,0,124754,27693971,4491652,412632,5446364,-5376118,4974530,2450122,21003,2471125,-8049960,-462306,-237628,-8749894,26389732,130496,625761,1610,0,627371,757867,0,0,1483201,1483201,0,0,0,0,2930287,0,0,0,0,0,2930287,79290,0,208234,0,75290,392491,4579137,5334442,588830,21436,87373,0,628640,0,1326279,6150557,0,311937,317028,6779522,0,787099,0,45788429,68946,0,501850,0,37615,608411,1894893,890999,680526,0,3466418,0,0,0,150089,1751391,5976309,5349414,0,665351,665351,8175,61518,70247,630599,6785304,0,1482720,490149,0,0,0,0,1237740,0,3210609,3544103,3812419,106730,2856422,2963152,76164,0,3030143,0,13425981,0,45199,0,0,0,45199,157212,662285,54452,0,134584,0,1008533,3293556,79992,275700,0,290450,0,1148100,0,5087798,0,0,0,0,561651,0,303346,864997,0,0,0,0,36404730
Cumberland,Rural Municipality,2021-22,15843812,3098078,0,92883,3190961,557872,100321,658193,0,6603,315414,5912,327929,91059,280148,10642,381849,20402744,1581303,1188263,216740,-216740,2769566,2923560,0,2923560,-4907052,-314337,-326251,-5547640,20548230,2115182,213998,13592,0,227590,2342772,0,0,30988,30988,0,0,0,0,1680968,20012836,0,0,0,0,21693804,95898,13772,209145,11304,39168,450469,179582,999338,3096210,21954,64983,0,0,0,3183147,2376545,189529,220726,0,2786800,0,1589724,0,53174803,41129,1829,196685,9665,71052,320360,1869835,468014,550449,47582,2935880,92397,2218,64,187007,1603183,5141109,4719208,100948,1515541,1616489,3788,0,-727691,1075538,6687332,1242200,701794,0,0,0,2263,0,567958,0,2514215,1105820,2492922,0,481012,481012,235099,0,3614851,101229,8030933,0,393206,0,668392,18801703,19863301,239889,657078,0,0,48375,8138,953480,1078934,87576,139240,0,0,0,434191,314090,2054031,0,0,0,0,1442433,42082,408149,1892664,0,0,0,0,47137066
Digby,Rural Municipality,2021-22,5079907,821693,45751,33430,900874,342195,22542,364737,2141,2112,17450,6559,28262,35462,202401,0,237863,6611643,93570,181087,510823,-501220,284260,553434,0,553434,-1563656,-104647,-42206,-1710509,5738828,26098,124126,0,0,124126,150224,0,0,87715,87715,875,46400,0,60271,0,0,0,0,0,0,107546,12417,18862,0,0,57384,127213,323540,539416,667232,706556,16511,0,6365,0,1396664,0,33475,668791,0,702266,0,0,0,8722659,38763,5347,106961,6676,25101,182848,474193,84954,193644,51284,804075,1223,0,0,29505,546867,1564518,1488830,34772,482634,517406,0,0,9283,523165,2538684,115043,73636,98817,0,327450,0,0,132660,74383,821989,293547,1087313,0,0,0,10035,0,258501,0,1649396,0,0,0,0,0,0,31531,126114,9169,0,110943,202459,480216,421768,41968,58600,0,0,0,20929,79632,622897,0,16,0,16,0,0,0,0,0,0,0,0,7677716
East Hants,Rural Municipality,2021-22,14488135,3615228,33310,23151,3671689,466331,44362,510693,0,0,118914,0,118914,106124,82202,0,188326,18977757,6998367,1201308,0,0,8199675,3239157,0,3239157,-5682864,-292216,-92697,-6067777,24348812,44041,138681,37731,0,176412,220453,0,0,0,0,846887,0,0,0,824037,0,36050,1245972,0,0,2952946,269618,20959,122517,58218,328226,103120,4275445,5178103,0,2997,133057,0,117837,0,253891,2243161,1078443,1026519,0,4348123,0,2290632,0,39592960,59139,2275,295196,8029,73637,438276,4105913,535690,400966,204162,5246731,-9480,131197,35936,321894,348812,6513366,4013587,0,3011373,3011373,27456,393,34160,565875,7652844,0,1137729,0,0,0,151267,4137,1038006,0,2331139,916804,2186270,-47179,564892,517713,76902,3265,850722,424139,4975815,0,0,0,0,0,0,799968,157049,81709,5494,-514774,258421,787867,2160394,29720,169300,0,390452,28274,875475,1284616,4938231,-1958717,0,0,-1958717,1710849,138694,456294,2305837,0,0,0,0,27546382
Guysborough,Rural Municipality,2021-22,2185165,1836723,0,260,1836983,310149,29861,340010,0,95332,12897,0,108229,36733,91139,0,127872,4598259,624354,104447,197905,-197905,728801,216017,0,216017,-1167663,-82510,-117306,-1367479,4175598,50764,216163,7811,6223,230197,280961,0,0,5337418,5337418,0,0,0,0,970489,0,0,141202,3295278,0,4406969,18472,10493,3515,0,22792,52410,433086,540768,169356,134770,92852,0,0,0,396978,824382,51875,385812,0,1262069,0,344965,0,16745726,41382,2700,160619,5091,9054,218846,1022191,78839,168047,59436,1328513,0,2226,0,160890,1477863,3188338,1369039,0,704773,704773,0,0,8216,134253,2216281,0,399267,0,0,0,0,0,99251,0,498518,168771,3034773,531532,0,531532,0,0,1231208,0,4966284,0,35497,0,0,0,35497,2289859,0,215844,0,818818,0,3324521,0,19615,33753,0,0,0,556799,1311157,1921324,0,0,0,0,364116,0,89231,453347,0,0,0,0,16604110
Inverness,Rural Municipality,2021-22,9275085,1952719,0,0,1952719,1704782,40709,1745491,0,0,89255,0,89255,105352,40266,0,145618,13208168,1170308,112307,1108048,-1108048,1282615,1353688,-601115,752573,-3490437,-211948,0,-3702385,11540971,87608,297761,0,17490,315251,402859,0,0,317236,317236,0,0,0,0,333352,17885327,0,15851,0,77357,18311887,755,3711,26621,0,20752,199120,130372,381331,756110,26071,45127,0,44771,29549,901628,0,328690,1140585,1120491,2589766,0,848523,0,35294201,60370,4532,191212,26345,11383,293842,1225078,336258,413676,189682,2164694,14345,0,14412,-12580,363254,2837967,2753979,0,357104,357104,0,0,0,83863,3194946,872716,499745,9598,0,124449,0,0,-170919,360821,1696410,1177348,2557105,0,0,0,23918,0,314063,530580,4603014,14334048,1126093,0,1466022,0,16926163,210283,113843,0,0,0,1274855,1598981,569296,29575,94655,0,0,0,0,414912,1108438,0,0,0,0,1010168,20293,374151,1404612,0,0,0,0,33370531
Kings,Rural Municipality,2021-22,27734200,8689200,0,20800,8710000,1259400,48600,1308000,10600,0,319800,0,330400,178600,0,0,178600,38261200,141100,4310300,4353400,-4353400,4451400,0,0,0,-12818100,-632400,-347100,-13797600,28915000,2708300,193700,0,0,193700,2902000,0,0,3316500,3316500,20400,0,216600,0,3138100,376200,15700,20000,0,0,3787000,214600,87100,11200,0,457500,320700,1257600,2348700,0,686300,104800,0,0,0,791100,1889400,206100,36459400,32400,38587300,0,1084700,0,81732300,61200,2860,331000,18240,119600,532900,3808100,730600,827300,32600,5398600,23600,5200,28100,383700,1583200,7955300,7759300,0,2694900,2694900,0,0,13800,1109600,11577600,0,1203200,26900,0,1626300,0,0,604300,836200,4296900,2544900,8671700,0,40100,40100,108400,344400,1975500,546000,14231000,34101600,34000,0,516500,0,34652100,641900,1641700,0,0,13400,10800,2307800,131300,0,331600,0,0,0,71300,797100,1331300,0,4900,0,4900,571100,2800,179300,753200,0,0,0,0,77110100
Lunenburg,Rural Municipality,2021-22,21011872,2503126,-30462,515,2473179,1063734,60229,1123963,0,0,52591,41349,93940,80414,27061,0,107475,24810429,489362,482278,3565897,-3560821,976716,3155420,0,3155420,-8598029,-430124,-34371,-9062524,19880041,29203,212860,0,8556,221416,250619,0,0,60124,60124,0,0,0,29235,0,0,0,33782,0,0,63017,126033,59956,149500,0,351787,258888,1481125,2427289,0,4762,90658,0,0,0,95420,2288242,720009,1141744,136808,4286803,0,0,0,27063313,60023,7480,309598,60642,35836,473579,1494368,161446,695379,54461,2405654,21043,0,4049,90109,2492665,5487099,3560365,60729,294399,355128,0,0,0,702010,4617503,461458,1355604,0,0,0,0,0,313692,0,2130754,669139,2408332,0,12042,12042,1016,0,903366,124558,4118453,0,0,0,0,0,0,616317,0,13923,0,136263,2003012,2769515,2325322,0,158314,0,0,0,623321,431851,3538808,0,0,0,0,0,0,0,0,0,0,0,0,22662132
Pictou,Rural Municipality,2021-22,11334407,3142429,19826,40403,3202658,759514,70767,830281,6848,2778,161501,152,171279,73137,706379,97275,876791,16415416,2767421,973740,0,0,3741161,1352282,0,1352282,-5247384,-304207,-155526,-5707117,15801742,14959,192662,56317,0,248979,263938,0,0,414,414,0,0,0,0,0,0,0,7133,198705,0,205838,79206,11479,0,0,46887,226141,100234,463947,541202,11988,17600,19032,0,0,589822,2139732,1337392,16081,0,3493205,0,410792,0,21229698,60985,9471,264811,48941,3919,388127,1248246,251670,500465,0,2000381,-10449,0,0,126828,637275,3142162,3577857,712247,2274827,2987074,0,0,0,343154,6908085,0,402688,0,0,0,0,0,308064,0,710752,1290101,1426479,0,0,0,0,0,2355901,1697,5074178,0,0,0,0,1352282,1352282,86698,29810,0,0,218694,347226,682428,248622,316084,195112,0,0,0,0,451491,1211309,0,0,0,0,359871,0,43487,403358,0,0,0,0,19484554
Richmond,Rural Municipality,2021-22,5316772,2557552,0,6689,2564241,1009312,13558,1022870,0,0,0,0,0,32999,164274,0,197273,9101156,750525,0,980501,-980501,750525,850914,-109938,740976,-2711583,-147481,-116478,-2975542,7617115,30554,111492,0,0,111492,142046,0,0,0,0,0,0,0,0,0,9800879,0,179505,0,0,9980384,35304,0,0,0,52805,244058,330144,662311,0,1824845,0,0,0,0,1824845,0,203194,834208,0,1037402,0,675996,0,21940099,47683,1692,108356,2951,0,160682,2215680,1033972,273897,0,3523549,-42111,0,10913,72377,117798,3843208,1494160,321000,67875,388875,6074,0,345,40374,1929828,0,592640,15000,0,0,4401,0,59748,0,671789,757387,389214,15000,624883,639883,26153,0,377521,212931,2403089,7173976,267231,0,549087,0,7990294,175031,440466,0,0,0,0,615497,740356,41101,61505,0,0,0,27545,0,870507,0,0,0,0,531308,0,143399,674707,0,0,0,0,18998919
